Protein Type	File Name	Accession ID	Hit Number	Hit ID	Query Definition	Hit Length	Species	Hsp E-value	Identity	Positives	Database	TaxID	Domain	Phylum	Class	Order	Family	Type	Strain
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 144	URH26050.1	G protein-coupled receptor gene family protein [Fowlpox virus]	336	Fowlpox virus	1.30E-07	63	117	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 145	URH25786.1	G protein-coupled receptor gene family protein [Fowlpox virus]	336	Fowlpox virus	1.30E-07	63	117	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 146	URH25267.1	G protein-coupled receptor gene family protein [Fowlpox virus]	336	Fowlpox virus	1.30E-07	63	117	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 147	URH25003.1	G protein-coupled receptor gene family protein [Fowlpox virus]	336	Fowlpox virus	1.30E-07	63	117	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 198	AXY05169.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	308	Fowlpox virus	2.59E-07	56	95	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 336	QRM13560.1	G protein-coupled receptor family protein [Fowlpox virus]	336	Fowlpox virus	8.21E-07	73	134	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 356	UHJ15249.1	G protein-coupled receptor family protein [Fowlpox virus]	336	Fowlpox virus	9.75E-07	73	134	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 357	UHJ14992.1	G protein-coupled receptor family protein [Fowlpox virus]	336	Fowlpox virus	9.75E-07	73	134	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 375	URH28666.1	putative G-protein-coupled receptor [Fowlpox virus]	331	Fowlpox virus	3.41E-06	62	117	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 376	URH28407.1	putative G-protein-coupled receptor [Fowlpox virus]	331	Fowlpox virus	3.41E-06	62	117	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 377	URH28148.1	putative G-protein-coupled receptor [Fowlpox virus]	331	Fowlpox virus	3.41E-06	62	117	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 381	NP_038990.1	G protein-coupled receptor gene family protein [Fowlpox virus]	336	Fowlpox virus	3.72E-06	62	117	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 382	AXY04730.1	G protein-coupled receptor family protein [Fowlpox virus]	336	Fowlpox virus	3.72E-06	62	117	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 383	AXY04468.1	G protein-coupled receptor family protein [Fowlpox virus]	336	Fowlpox virus	3.72E-06	62	117	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 384	AAF44371.1	ORF FPV027 G protein-coupled receptor gene family protein [Fowlpox virus]	336	Fowlpox virus	3.72E-06	62	117	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 401	AYP74092.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	310	Fowlpox virus	1.50E-05	54	105	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 444	URH25528.1	G protein-coupled receptor gene family protein [Fowlpox virus]	337	Fowlpox virus	0.000127504	59	105	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 445	URH24745.1	G protein-coupled receptor gene family protein [Fowlpox virus]	337	Fowlpox virus	0.000127504	59	105	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 446	ART91461.1	G protein-coupled receptor family protein [Fowlpox virus]	337	Fowlpox virus	0.000127504	59	105	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 10	CAE52580.1	putative ankyrin-repeat protein [Fowlpox virus isolate HP-438/Munich]	415	Fowlpox virus isolate HP-438/Munich	3.88E-15	76	127	Genomic Viruses	632782	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 345	CAE52572.1	putative ankyrin-repeat protein [Fowlpox virus isolate HP-438/Munich]	436	Fowlpox virus isolate HP-438/Munich	2.78E-07	63	91	Genomic Viruses	632782	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 438	CAE52577.1	putative ankyrin-repeat protein [Fowlpox virus isolate HP-438/Munich]	341	Fowlpox virus isolate HP-438/Munich	1.80E-06	61	91	Genomic Viruses	632782	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 485	CAE52763.1	putative ankyrin-repeat protein [Fowlpox virus isolate HP-438/Munich]	525	Fowlpox virus isolate HP-438/Munich	8.16E-06	58	87	Genomic Viruses	632782	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 611	CAE52757.1	putative ankyrin-repeat protein; c-terminal [Fowlpox virus isolate HP-438/Munich]	317	Fowlpox virus isolate HP-438/Munich	1.89E-05	60	107	Genomic Viruses	632782	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 755	CAE52767.1	putative ankyrin-repeat protein [Fowlpox virus isolate HP-438/Munich]	482	Fowlpox virus isolate HP-438/Munich	0.000123542	47	74	Genomic Viruses	632782	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 97	CAE52744.1	hypothetical G-protein-coupled receptor protein [Fowlpox virus isolate HP-438/Munich]	308	Fowlpox virus isolate HP-438/Munich	6.15E-08	57	96	Genomic Viruses	632782	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 378	CAE52573.1	putative G-protein-coupled receptor [Fowlpox virus isolate HP-438/Munich]	331	Fowlpox virus isolate HP-438/Munich	3.41E-06	62	117	Genomic Viruses	632782	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 34	AGE58202.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus NY2B]	486	Paramecium bursaria Chlorella virus NY2B	2.01E-13	71	114	Genomic Viruses	2506589	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC104
Transcription Factors	P19838_blast_results.txt	P19838	Hit 182	AGE58204.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus NY2B]	532	Paramecium bursaria Chlorella virus NY2B	3.31E-09	69	125	Genomic Viruses	2506589	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC104
Transcription Factors	P19838_blast_results.txt	P19838	Hit 260	AGE58564.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus NY2B]	235	Paramecium bursaria Chlorella virus NY2B	2.97E-08	45	71	Genomic Viruses	2506589	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC104
Transcription Factors	P19838_blast_results.txt	P19838	Hit 315	AGE58562.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus NY2B]	368	Paramecium bursaria Chlorella virus NY2B	1.27E-07	66	105	Genomic Viruses	2506589	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC104
Transcription Factors	P19838_blast_results.txt	P19838	Hit 38	AGE54765.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus MA1D]	486	Paramecium bursaria Chlorella virus MA1D	2.01E-13	71	114	Genomic Viruses	2718475	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Phage 33_17
Transcription Factors	P19838_blast_results.txt	P19838	Hit 184	AGE54767.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus MA1D]	532	Paramecium bursaria Chlorella virus MA1D	3.31E-09	69	125	Genomic Viruses	2718475	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Phage 33_17
Transcription Factors	P19838_blast_results.txt	P19838	Hit 263	AGE55124.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus MA1D]	235	Paramecium bursaria Chlorella virus MA1D	2.97E-08	45	71	Genomic Viruses	2718475	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Phage 33_17
Transcription Factors	P19838_blast_results.txt	P19838	Hit 318	AGE55122.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus MA1D]	368	Paramecium bursaria Chlorella virus MA1D	1.27E-07	66	105	Genomic Viruses	2718475	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Phage 33_17
Transcription Factors	P19838_blast_results.txt	P19838	Hit 42	AGE54075.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus IL-5-2s1]	486	Paramecium bursaria Chlorella virus IL-5-2s1	2.01E-13	71	114	Genomic Viruses	755274	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Phaeocystis globosa virus 14T
Transcription Factors	P19838_blast_results.txt	P19838	Hit 186	AGE54077.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus IL-5-2s1]	532	Paramecium bursaria Chlorella virus IL-5-2s1	3.31E-09	69	125	Genomic Viruses	755274	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Phaeocystis globosa virus 14T
Transcription Factors	P19838_blast_results.txt	P19838	Hit 287	AGE54444.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus IL-5-2s1]	236	Paramecium bursaria Chlorella virus IL-5-2s1	8.53E-08	45	68	Genomic Viruses	755274	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Phaeocystis globosa virus 14T
Transcription Factors	P19838_blast_results.txt	P19838	Hit 431	AGE54442.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus IL-5-2s1]	366	Paramecium bursaria Chlorella virus IL-5-2s1	1.71E-06	56	89	Genomic Viruses	755274	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Phaeocystis globosa virus 14T
Transcription Factors	P19838_blast_results.txt	P19838	Hit 71	YP_001497214.1	hypothetical protein NY2A_B018L [Paramecium bursaria Chlorella virus NY2A]	472	Paramecium bursaria Chlorella virus NY2A	5.97E-13	69	116	Genomic Viruses	2506588	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC103
Transcription Factors	P19838_blast_results.txt	P19838	Hit 75	ABT14417.1	hypothetical protein NY2A_B018L [Paramecium bursaria Chlorella virus NY2A]	472	Paramecium bursaria Chlorella virus NY2A	5.97E-13	69	116	Genomic Viruses	2506588	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC103
Transcription Factors	P19838_blast_results.txt	P19838	Hit 224	YP_001498076.1	hypothetical protein NY2A_B880L [Paramecium bursaria Chlorella virus NY2A]	235	Paramecium bursaria Chlorella virus NY2A	6.10E-09	46	71	Genomic Viruses	2506588	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC103
Transcription Factors	P19838_blast_results.txt	P19838	Hit 227	ABT15279.1	hypothetical protein NY2A_B880L [Paramecium bursaria Chlorella virus NY2A]	235	Paramecium bursaria Chlorella virus NY2A	6.10E-09	46	71	Genomic Viruses	2506588	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC103
Transcription Factors	P19838_blast_results.txt	P19838	Hit 230	YP_001497220.1	hypothetical protein NY2A_B024L [Paramecium bursaria Chlorella virus NY2A]	532	Paramecium bursaria Chlorella virus NY2A	6.24E-09	70	122	Genomic Viruses	2506588	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC103
Transcription Factors	P19838_blast_results.txt	P19838	Hit 234	ABT14423.1	hypothetical protein NY2A_B024L [Paramecium bursaria Chlorella virus NY2A]	532	Paramecium bursaria Chlorella virus NY2A	6.24E-09	70	122	Genomic Viruses	2506588	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC103
Transcription Factors	P19838_blast_results.txt	P19838	Hit 420	YP_001498070.1	hypothetical protein NY2A_B874L [Paramecium bursaria Chlorella virus NY2A]	366	Paramecium bursaria Chlorella virus NY2A	1.53E-06	56	89	Genomic Viruses	2506588	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC103
Transcription Factors	P19838_blast_results.txt	P19838	Hit 423	ABT15273.1	hypothetical protein NY2A_B874L [Paramecium bursaria Chlorella virus NY2A]	366	Paramecium bursaria Chlorella virus NY2A	1.53E-06	56	89	Genomic Viruses	2506588	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC103
Transcription Factors	P19838_blast_results.txt	P19838	Hit 79	NP_048355.2	hypothetical protein PBCV1_A007/008L [Paramecium bursaria Chlorella virus 1]	469	Paramecium bursaria Chlorella virus 1	1.85E-12	73	117	Genomic Viruses	1278261	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus NE-JV-1
Transcription Factors	P19838_blast_results.txt	P19838	Hit 83	AAC96375.2	hypothetical protein [Paramecium bursaria Chlorella virus 1]	469	Paramecium bursaria Chlorella virus 1	1.85E-12	73	117	Genomic Viruses	1278261	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus NE-JV-1
Transcription Factors	P19838_blast_results.txt	P19838	Hit 195	NP_049038.1	hypothetical protein PBCV1_A682L [Paramecium bursaria Chlorella virus 1]	368	Paramecium bursaria Chlorella virus 1	4.46E-09	67	99	Genomic Viruses	1278261	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus NE-JV-1
Transcription Factors	P19838_blast_results.txt	P19838	Hit 199	AAC96986.1	hypothetical protein [Paramecium bursaria Chlorella virus 1]	368	Paramecium bursaria Chlorella virus 1	4.46E-09	67	99	Genomic Viruses	1278261	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus NE-JV-1
Transcription Factors	P19838_blast_results.txt	P19838	Hit 268	NP_048353.2	hypothetical protein PBCV1_A005R [Paramecium bursaria Chlorella virus 1]	268	Paramecium bursaria Chlorella virus 1	3.52E-08	53	87	Genomic Viruses	1278261	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus NE-JV-1
Transcription Factors	P19838_blast_results.txt	P19838	Hit 272	AAC96373.2	hypothetical protein [Paramecium bursaria Chlorella virus 1]	268	Paramecium bursaria Chlorella virus 1	3.52E-08	53	87	Genomic Viruses	1278261	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus NE-JV-1
Transcription Factors	P19838_blast_results.txt	P19838	Hit 776	NP_048686.1	hypothetical protein PBCV1_A330R [Paramecium bursaria Chlorella virus 1]	432	Paramecium bursaria Chlorella virus 1	0.000235446	45	80	Genomic Viruses	1278261	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus NE-JV-1
Transcription Factors	P19838_blast_results.txt	P19838	Hit 777	AAC96698.1	hypothetical protein [Paramecium bursaria Chlorella virus 1]	432	Paramecium bursaria Chlorella virus 1	0.000235446	45	80	Genomic Viruses	1278261	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus NE-JV-1
Transcription Factors	P19838_blast_results.txt	P19838	Hit 87	AGE57154.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus NE-JV-4]	495	Paramecium bursaria Chlorella virus NE-JV-4	3.91E-12	72	115	Genomic Viruses	2506586	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC101
Transcription Factors	P19838_blast_results.txt	P19838	Hit 100	AGE57495.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus NE-JV-4]	371	Paramecium bursaria Chlorella virus NE-JV-4	2.29E-11	78	122	Genomic Viruses	2506586	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC101
Transcription Factors	P19838_blast_results.txt	P19838	Hit 299	AGE57152.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus NE-JV-4]	313	Paramecium bursaria Chlorella virus NE-JV-4	1.02E-07	53	81	Genomic Viruses	2506586	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC101
Transcription Factors	P19838_blast_results.txt	P19838	Hit 856	AGE57315.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus NE-JV-4]	432	Paramecium bursaria Chlorella virus NE-JV-4	0.000661589	45	79	Genomic Viruses	2506586	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pithovirus	Pithovirus LCPAC101
Transcription Factors	P19838_blast_results.txt	P19838	Hit 91	AGE53729.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus IL3A]	528	Paramecium bursaria Chlorella virus IL3A	3.96E-12	82	129	Genomic Viruses	755273	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Phaeocystis globosa virus 12T
Transcription Factors	P19838_blast_results.txt	P19838	Hit 103	AGE54065.1	ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus IL3A]	371	Paramecium bursaria Chlorella virus IL3A	3.60E-11	78	122	Genomic Viruses	755273	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Phaeocystis globosa virus 12T
